Filename,Channel,Flags,Connectivity,Maximum Island Area,Maximum Void Area,Island Area Change,Void Area Change,Initial Maximum Island Area,Initial 2nd Maximum Island Area,Maximum Kurtosis,Maximum Median Skewness,Maximum Mode Skewness,Kurtosis Change,Median Skewness Change,Mode Skewness Change,Mean Speed,Speed Change,Mean Flow Direction,Flow Directional Spread,stab_conc_uM,stab_name,mt_conc_uM,actin_conc_uM,channel,trial,time_PT,spatial_x,spatial_y
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-1_PT-5_tile_0_0.tif,0,0,0.3353302853942163,-0.07904864474918398,0.20376515169836215,1.4816762008466802,0.01545077397436817,-0.6971004928976959,2.0383256493000332,-0.2873442733329224,-0.3952843339468115,0.34446137846239355,0.007123487416079087,-0.0980158724385967,0.07174196038175928,-0.9725791179841603,0.2935980723676533,0.38983872645577666,0.4620799353055009,2.5,TX,3.19,2.62,1,1,5,0,0
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-1_PT-5_tile_0_1.tif,0,0,0.882047564036014,-0.2633059427188427,0.2634706733191737,-0.6007110979173202,-0.2907914091733231,-0.12398199725604267,-0.6311827188345137,-0.212113558583863,-0.17110220481867808,0.34818029316668003,0.127959305295348,-0.2578911292938312,-0.00551619387681935,-0.9513939557993399,0.29885746318886264,0.2605018050140514,0.7114613880029608,2.5,TX,3.19,2.62,1,1,5,0,1
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-1_PT-5_tile_1_0.tif,0,0,0.4720096050546657,-0.22833834625541308,0.37807931590868793,-1.3227857198833664,-0.32959815625464484,-0.1951891269992679,0.23177672098693977,-0.20264154172747217,-0.6490540277583445,-4.242526445456864,0.04572784727259963,-0.3422531080862573,0.08561449227283674,-0.9761998835956289,0.307132356807708,0.42966657697134697,0.6045380257281108,2.5,TX,3.19,2.62,1,1,5,1,0
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-1_PT-5_tile_1_1.tif,0,0,0.7453682443755646,-0.14240321989141258,0.3427751813850777,-1.2313428000466926,-0.2646514104353198,0.011014852882155202,-0.8491017692944768,-0.15555926285919,-0.2679246183271125,0.31607727423326054,0.012412571310286192,0.020280777050100663,0.0300228280649032,-0.9608871465234861,0.2938396127348113,0.30214280842949826,0.6136669962314376,2.5,TX,3.19,2.62,1,1,5,1,1
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-1_PT-6_tile_0_0.tif,0,0,0.19865096573376684,-0.1528547893140613,0.16417779497151974,0.43999311254484386,-0.27433760668645474,-0.663474903852284,2.7988631354053037,-0.3057443833082881,-0.3732591359171454,0.33828058522755716,0.021115328752260215,-0.1856267698488657,0.023719290394948783,-0.9792193972274017,0.29984625808214804,0.4080725932494089,0.48994975217481984,2.5,TX,3.19,2.62,1,1,6,0,0
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-1_PT-6_tile_0_1.tif,0,0,0.19865096573376684,-0.2980154757397378,0.27216691233785706,-0.5163368972495934,-0.2475776015962484,-0.1934583981513423,-0.43723476392514665,-0.18437030772791313,-0.15393576237795026,0.3269683547870693,0.13757175336334007,-0.43796369871920393,0.019828129278554447,-0.9670229782379959,0.2981339990902962,0.29571971860661656,0.581762941153224,2.5,TX,3.19,2.62,1,1,6,0,1
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-1_PT-6_tile_1_0.tif,0,0,0.4720096050546657,-0.18317724381186928,0.3718491745221685,1.0645606539017505,-0.20762661859132525,-0.6234208933717198,3.1366376636182465,-0.20032749989913742,-0.6764583420953559,-4.202542192657238,0.04566297949687944,-0.26169900092162535,0.08605277080186542,-0.9823700411176837,0.3005917507760495,0.5047658567837676,0.609528586130646,2.5,TX,3.19,2.62,1,1,6,1,0
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-1_PT-6_tile_1_1.tif,0,0,0.3353302853942163,-0.22730609248527495,0.3604272486468828,-1.0883555530003852,-0.17425616755427004,-0.24538026358911072,-0.39147176332855443,-0.1684548172602922,-0.23660389192551856,0.3255595776576785,0.03272215697447102,-0.09571671042578192,-0.0020042665705158513,-0.9639944661383277,0.313849412087238,0.32744590974584376,0.6094494477941655,2.5,TX,3.19,2.62,1,1,6,1,1
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-3_PT-1_tile_0_0.tif,0,0,-1.0314629112102782,-0.8754324284107622,1.1603514437535378,4.853910390844107,0.11393122493366052,-1.2178026291450306,0.9792390640646129,1.4424523018199273,0.056298584864567264,0.2548884082128757,-2.8307427225629476,1.369083009517325,0.036664518620539266,1.1324462524690995,-0.8119342729968722,0.6684700275096133,-0.12562032844751117,2.5,TX,3.19,2.62,1,3,1,0,0
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-3_PT-1_tile_0_1.tif,0,0,-1.304821550531177,-1.2080762058377792,1.2194079923132537,6.052125244628081,-0.18660916533525165,-1.3053280594544117,-0.12778971227199917,0.5548036726168116,0.1394764103021522,0.24628252878101134,-1.5812687868175668,3.2415580732252027,0.06525745864862005,1.1020638844738533,-0.6131091581426696,0.8976676927307188,-0.49175606289238827,2.5,TX,3.19,2.62,1,3,1,0,1
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-3_PT-1_tile_1_0.tif,0,0,-1.304821550531177,-1.2280761226342058,1.3549135674700519,0.40883151695696696,-0.23056037188496428,-1.1362111263142516,-0.23239085649278143,0.05021703917483054,1.044082539941635,0.24684732444018928,-1.2776295588851703,6.279560719613499,-4.495749429086809,3.145280515102779,-1.8559669471041962,0.5247779508864829,-0.07558854722751639,2.5,TX,3.19,2.62,1,3,1,1,0
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-3_PT-1_tile_1_1.tif,0,0,-1.304821550531177,-1.1462700113507578,1.1886466692173137,-2.360885841325693,0.07666156522169498,-1.0098679204156817,0.6153142497964746,0.572962460729568,0.5357367373408812,0.29371195110893317,-1.2887599799809732,-1.6071466148116231,-0.04035298873035945,1.1910974265047707,-1.0043706824968497,-0.49259203043726996,1.1808112789671952,2.5,TX,3.19,2.62,1,3,1,1,1
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-3_PT-2_tile_0_0.tif,0,0,-0.07470767358713207,-0.7296265833787494,1.1214130600877912,1.0872771691477776,-0.3036452536719458,-0.9084966593228959,0.44097900942850426,-0.04607421443838858,0.2787889272579692,0.2816548675790314,-0.34464333705839434,1.0803059693352088,0.06759958869986696,0.09021176932726495,0.30952431644103573,0.8213406855222414,-0.723634215148918,2.5,TX,3.19,2.62,1,3,2,0,0
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-3_PT-2_tile_0_1.tif,0,0,-1.304821550531177,-1.2150439187862117,1.286511806830557,-0.29518543969868477,-0.12147105798686714,-1.052394400678997,0.8223373477334396,-0.19246389709719108,0.29877566114037263,0.260713934759161,-0.32343450293734205,0.5611079536400826,0.04862543074117559,-0.023078828000452904,0.204207842716646,0.8684364054268808,-1.5232405981980144,2.5,TX,3.19,2.62,1,3,2,0,1
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-3_PT-2_tile_1_0.tif,0,0,-1.304821550531177,-0.8461422276830924,1.3957988703190858,1.5587008317307713,-0.18253447046654542,-1.1186565908567203,1.048973160211801,-0.5711406908306083,1.4322836065275701,-2.2462135816432736,-0.1051583543077598,1.5277882125723863,0.6554937270882272,0.8775915993497366,-0.11907401137724544,0.84871301819731,-0.996555890929582,2.5,TX,3.19,2.62,1,3,2,1,0
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-3_PT-2_tile_1_1.tif,0,0,-1.304821550531177,-1.3541401143123266,1.2702874803031625,1.174852176383739,-0.10281334872510386,-1.3063170473675119,0.24921024502373681,-0.20386537663117849,0.557763321682206,0.25257774116534676,-0.5592083743425885,1.386400592523525,-5.741192819846366,-0.04143885707688751,0.11257836415409275,-0.5301962141051477,0.6370027113175636,2.5,TX,3.19,2.62,1,3,2,1,1
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-3_PT-3_tile_0_0.tif,0,0,-1.0314629112102782,-0.6924654476537762,1.1090825719269715,3.183077411971477,-0.18638921266784247,-0.9693194159785674,0.831054109751838,-0.23495823804735158,0.32329125179256885,0.28064331820645994,-0.3631162614907153,0.03904589779818946,-6.273342385011826,-0.19235396638100621,0.1869706056219411,0.8939371915427602,-1.2897825459577403,2.5,TX,3.19,2.62,1,3,3,0,0
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-3_PT-3_tile_0_1.tif,0,0,-1.1681422308707277,-0.9309160685556874,1.2543227430002064,0.6220222142177283,-0.2666300959247492,-1.0467077201786699,0.10756286222476086,-0.3382270570964769,0.2856951389179257,0.28756540373302075,0.06820170901969276,-0.8389364572513568,0.05468445446208472,-0.20895233827735885,0.0770962727830132,0.9757002258662258,-1.70172597215957,2.5,TX,3.19,2.62,1,3,3,0,1
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-3_PT-3_tile_1_0.tif,0,0,-0.6214249522289298,-0.8413680539962035,1.3617926819176671,-0.1753564801616409,-0.42568525673371405,-0.7121825585724763,-0.6050324327793182,-0.6452731503323521,1.5273491273770787,-2.0990523101877083,-0.03588454501799705,0.2955771816317875,0.26407857840934473,0.4157188519794844,0.35086936051396195,0.8847923729757063,-1.7786387851866052,2.5,TX,3.19,2.62,1,3,3,1,0
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-3_PT-3_tile_1_1.tif,0,0,-1.1681422308707277,-1.0114318626264627,1.235632318840648,0.5105899280764924,-0.25751482486980887,-1.129040963944274,0.32984029369392315,-0.49669143421021755,0.6592378439565274,-2.921092370675713,-0.030322521873374714,0.13790000961025747,0.14150517253465897,-0.3079682563425927,0.1713358104386808,-0.276546948502149,0.11095625877051513,2.5,TX,3.19,2.62,1,3,3,1,1
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-3_PT-4_tile_0_0.tif,0,0,0.6086889247151152,-0.4374987664296546,1.0881856393596874,1.8378995633933266,-1.3298050115042666,-0.7168802511597029,-0.45684747846654333,-0.10308628467404558,0.2547304900388042,0.29476783450961547,0.682811798933147,-1.6804665910707752,6.431527668119191,-0.09872285405594607,-0.41215386289210154,1.0537309155884957,-1.8620300400954108,2.5,TX,3.19,2.62,1,3,4,0,0
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-3_PT-4_tile_0_1.tif,0,0,0.3353302853942163,-0.4916920893619071,0.6213144192073853,0.45384147765463745,1.5329026390155125,-0.6909193184408187,0.6087766782826758,0.9750057135986467,0.13338192723244663,0.31531722653739774,2.946542038474432,-6.872610899870533,-0.11535751849492841,-0.09251195945981307,-0.27227332139791854,1.1754827445832385,-1.8435487351717117,2.5,TX,3.19,2.62,1,3,4,0,1
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-3_PT-4_tile_1_0.tif,0,0,-1.304821550531177,-0.49556304099992515,1.3016977764601982,0.8166431014373517,-0.7504025081240007,-0.7193527209424538,-0.6159283853023163,-0.4330702873000128,1.4117842071818933,0.3256447881288185,0.5861048313973217,-3.8425783258540505,4.383893647599094,0.35655727304352414,-0.32318500715366943,0.9011848542867297,-1.9919686273819928,2.5,TX,3.19,2.62,1,3,4,1,0
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-3_PT-4_tile_1_1.tif,0,0,-0.7581042718893793,-0.5580143940932829,1.1077846258047799,1.2880226997277189,-0.7852516543826606,-0.9052824486053197,-0.23892842800658032,0.41264575965179956,0.5358450865490962,0.3136833153636965,1.9867922286709236,-3.2604959085502228,1.630667641919387,-0.28520755661251795,-0.04469020905729661,0.5536510488182369,-0.17735237260076478,2.5,TX,3.19,2.62,1,3,4,1,1
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-3_PT-5_tile_0_0.tif,0,0,-0.4847456325684804,-0.34704752982129966,0.6571377321798721,-0.12060317507323715,-0.23881882559322495,-0.29161544852655213,-0.6072116232839178,-0.10681672292386252,-0.045298860127434025,0.31757129108898746,0.012427878702530128,-0.29070785720995784,0.026351220036126707,-0.38813323522031346,0.005654032947699109,0.7840209830571644,-1.8879022801841894,2.5,TX,3.19,2.62,1,3,5,0,0
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-3_PT-5_tile_0_1.tif,0,0,-0.8947835915498288,-0.6501430430781122,0.6541524560988315,0.852027651286587,-0.18414990031429593,-0.9564625731082629,1.9141117905378542,1.347221215431397,-1.0451166584801912,0.2536097933508196,0.7335421817838376,0.2435250571401249,0.05068163706015053,-0.35305078475063956,0.15700817237805015,0.9246915635835551,-1.4376455223133922,2.5,TX,3.19,2.62,1,3,5,0,1
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-3_PT-5_tile_1_0.tif,0,0,-0.7581042718893793,-0.4182730399608316,0.41468139655448977,-0.06820674095112146,-0.34419754957765436,-0.36084460244357663,-0.618107575806916,-0.4245371506308295,0.684554069942149,0.36443731928493756,0.042234952831398845,0.24340117789987475,0.10012663624860181,0.04809446871188514,0.028521903676035305,0.7324448330994817,-2.0650660237381726,2.5,TX,3.19,2.62,1,3,5,1,0
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-3_PT-5_tile_1_1.tif,0,0,0.3353302853942163,-0.5636917898290427,0.6631082843419533,-0.8212639587994058,-0.07381173895166449,-0.4800176459721689,0.5063547245664932,0.5804663194776263,-0.032358728082637164,0.3184998916950742,0.3277839206199175,0.33909069024506183,0.06915583799426345,-0.49967293267887586,0.26823902068136135,0.7607965286871533,-0.41903015238558966,2.5,TX,3.19,2.62,1,3,5,1,1
2.5uM_TX_3.19uM-MT_2.62uM-A_C=1_trial-3_PT-6_tile_0_0.tif,0,0,-1.304821550531177,-0.2679510846844644,0.6224825707173577,0.1426930478640798,-0.5118088056979427,-0.30101083370100545,-0.47210181199874074,-0.07976618666662116,-0.047942895583459315,0.3318930204790055,0.11547718175144761,-0.37009991593938996,0.03549735666080044,-0.626303094839931,0.09325033884073876,0.6849218667268735,-1.1719682344568612,2.5,TX,3.19,2.62,1,3,6,0,0
